 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2019-Set/2021
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";9708;9623;9899;10939;11252;10380;10646;10202;10244;10013;10283;9711;11116;9300;9552;7674;7530;6989;8540;8712;9122;8379;9297;8356;9005;8491;9648;9950;9801;9483;8472;8692;6998;308007
"12 Acre";3284;2899;3797;3037;3658;4213;4402;4033;3889;4255;3632;3464;3782;4086;3743;2943;3104;3171;3479;3774;3454;4225;3612;3698;3915;3483;3969;4299;4696;3164;4592;4381;-;120133
"13 Amazonas";17444;15345;16796;16052;17051;15779;17043;16103;16964;16725;16206;15284;16411;15479;16265;13108;14329;14985;15055;14266;15315;15452;15104;13961;14731;17559;17719;18004;17727;18696;18005;18744;15747;533454
"14 Roraima";3274;3086;2871;3172;3033;3591;4324;4881;4366;4288;4019;3767;3679;3775;3576;3132;2916;2846;2899;3263;3063;3481;3435;3496;3157;3304;3693;3333;3215;3276;4021;3929;3519;115680
"15 Pará";38268;39379;40493;41863;42449;41512;37799;38526;41093;41973;41094;40501;39529;40926;39504;30762;29909;32154;33399;38814;36143;37169;38225;37065;37334;37223;37960;38363;41896;39095;38860;35960;12487;1237727
"16 Amapá";3640;3463;3468;3468;3543;3186;3427;3546;3334;3330;3336;3135;3119;3213;2420;2017;2118;2350;3010;3072;2945;2367;2398;2944;2889;3333;3360;3300;3355;3469;3411;3348;3514;102828
"17 Tocantins";5698;6112;6142;6428;6849;6166;7066;7477;8342;7301;6442;7136;7522;6861;6890;6247;6331;6098;6748;6313;6117;6192;6172;5612;6273;6477;7099;6884;6846;7146;6962;6922;495;213366
"21 Maranhão";38854;35982;39279;39770;40580;38222;38618;38515;38580;39126;37712;36235;37925;36391;35227;28281;29441;28871;31003;31824;32041;34391;33297;31456;33770;33223;37308;35021;37792;35973;34268;31682;28201;1158859
"22 Piauí";17601;16879;17792;17815;18614;18485;18385;18727;18755;19342;18528;18264;17806;17500;15867;12305;12989;13545;14350;14988;14597;15959;15220;15470;17552;16320;16019;16076;17131;17972;17279;17777;15194;551103
"23 Ceará";44226;41837;43445;44243;45516;43746;44435;44781;44277;44486;42332;42642;43203;40592;40790;34756;33970;36262;37762;36101;36177;38623;38417;36033;37184;38795;41310;43416;44386;50169;42984;39485;37677;1354058
"24 Rio Grande do Norte";14768;14121;15326;14893;16657;15351;15815;16478;15204;15080;14903;14378;14851;14853;14584;12468;11958;12712;13575;13752;13736;14753;14097;12982;14476;12960;13607;15157;15802;15483;14878;13988;12424;476070
"25 Paraíba";14820;13987;15706;15616;17292;15994;16372;16390;16214;15511;15536;14808;13878;14020;13882;11525;11266;12276;13304;13633;13270;13658;13416;12368;12930;14088;14059;15104;16428;15907;15173;14504;13898;476833
"26 Pernambuco";45885;43886;46859;48739;51072;48590;50198;50151;48414;50349;48685;46229;47887;43808;44264;32493;33544;35964;41522;41451;40819;41262;42725;40507;41408;39857;42626;44684;49042;49400;48209;46934;44178;1471641
"27 Alagoas";13509;13327;13851;13820;14553;14794;15465;14874;14573;14989;14274;13631;14031;12991;13395;11327;9794;8974;10855;12098;11795;13039;13527;13206;12269;13591;13180;14038;14112;13302;14189;12590;11147;435110
"28 Sergipe";7888;7229;7294;8329;8944;7817;8032;7835;7857;7982;8005;7143;8183;7962;7965;6639;6387;5981;6638;7082;6822;7676;7833;6941;7475;8075;7717;7455;8278;8281;8169;7578;7148;250640
"29 Bahia";66492;63225;68055;71040;73056;70093;74281;75517;72442;72753;69743;65872;66185;64972;65715;54100;51775;51219;54336;55052;56477;61326;61134;59194;55660;56001;61831;63405;63532;65296;65285;63173;59679;2097916
"31 Minas Gerais";102961;101140;105009;108390;114829;107579;112079;110444;106238;110323;103008;101580;106343;100741;96006;82408;84314;82841;89641;90322;92631;95148;93953;91429;93428;93702;97886;96945;100687;101341;102466;101675;92541;3270028
"32 Espírito Santo";19382;19010;19289;19520;20534;20038;22164;21816;21348;21970;20118;21112;21505;20213;20550;18792;18685;16484;17393;16882;17759;18806;19089;19682;20563;20370;22284;21827;22244;21892;23104;21663;20683;666771
"33 Rio de Janeiro";60470;56642;57486;58096;64714;61067;64299;64627;62705;63322;60465;56886;60098;55735;54244;46540;51363;51922;56539;56125;56059;56738;55477;56110;56864;53856;62587;60057;63832;62604;62536;63429;61600;1935094
"35 São Paulo";205741;197814;211776;215876;221498;210518;215641;221298;211684;220411;206022;198920;210257;199907;202819;152829;157924;166932;181606;179389;185979;191035;190248;183122;190766;185676;193307;186260;195406;194247;192684;191922;184496;6454010
"41 Paraná";72424;70915;72807;72330;75849;73282;75158;73834;74501;74980;74003;69531;72379;73852;67487;55136;59843;51876;55264;58442;59155;63596;62996;56910;58814;63332;60428;63350;62625;63456;64149;66052;51625;2170381
"42 Santa Catarina";40755;38940;39919;41215;44436;42921;45213;44708;44074;45214;42794;40567;39972;41665;39419;31493;31181;32801;32084;32390;34272;35430;36858;35668;36702;36470;37088;35963;35682;37747;37343;38770;35931;1265685
"43 Rio Grande do Sul";59533;59283;60253;62291;65673;65334;68165;68263;65798;68534;62678;61288;63760;61605;63508;50991;50177;50998;53202;52509;52539;59214;57284;55811;56763;54329;55963;55324;57913;59664;59396;60304;58660;1957007
"50 Mato Grosso do Sul";14192;14263;13738;15213;15039;15049;15751;15505;15057;15188;14073;14234;14709;15080;15059;13199;12779;12150;12377;12149;11795;11682;12353;11502;12733;13816;13534;13064;13630;14535;14062;13789;12990;454289
"51 Mato Grosso";14849;14785;16476;16261;17262;16278;16422;17444;16358;17215;16051;15752;15222;15545;15000;12819;13320;12219;12943;14014;13777;15017;13968;14133;14861;14498;15252;15402;15622;15332;16874;15767;13565;500303
"52 Goiás";27096;26207;27783;28604;29738;28923;29715;29813;29175;29984;28449;27449;27430;26997;27242;22536;23196;22667;24240;26063;25362;26588;25313;25671;26348;25291;28464;27292;28351;28524;28033;27611;25072;891227
"53 Distrito Federal";18401;18473;21607;19459;20326;18765;19976;21838;17908;18218;16924;17719;20213;19218;21460;18769;16481;16610;16360;16438;15747;17162;16379;17706;19145;17669;20365;20840;19554;20114;19588;19786;19259;618477
"Total";981163;947852;997216;1016479;1064017;1017673;1050891;1057626;1029394;1052862;999315;967238;1000995;967287;956433;775289;786624;791897;848124;858918;866968;908368;901827;871033;897015;891789;938263;934813;969585;975568;964992;950455;848728;31086697
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
