 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2019-Set/2021
"Unidade da Federação";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";9351705,82;8143007,97;8949741,77;9630553,15;9581970,31;7891114,05;9792370,67;9170787,53;8816846,71;10024554,15;9675423,70;8085025,66;9222010,60;7493901,30;8148169,46;7353768,37;7739864,47;9308601,23;11954489,94;11887993,85;10328280,19;8068024,57;9486450,48;9018235,63;9858841,18;9806315,07;14946369,28;15552930,66;16269008,71;15380532,08;14228814,25;12427865,05;10345616,78;337939184,64
"12 Acre";2664654,52;1906429,95;3096439,63;2411628,00;2840630,58;3260153,59;3250722,84;3204998,88;3052745,65;3124802,29;3021521,75;2874871,28;3331803,55;3417691,07;3076003,20;2286642,60;2896340,24;3045245,80;3915193,20;3640142,82;3391242,21;4044321,44;3276590,10;3696997,31;3715723,12;3538427,92;4077045,92;6307616,67;6354514,15;3461663,11;4979239,30;4138751,64;-;111300794,33
"13 Amazonas";16791397,31;14369987,43;16339024,96;15622910,63;16483166,92;15422243,28;15961988,04;15787896,78;16515441,67;15788848,91;15784686,14;14388606,82;16063450,73;14939977,20;15107056,74;13540590,64;19703025,18;21134874,24;19769752,76;18069587,18;17852221,73;16419160,70;19903821,77;17794528,56;21621697,26;26163677,75;23445832,76;23154039,32;26127701,15;26447055,27;24457791,81;22731356,54;19840265,30;613543663,48
"14 Roraima";2527888,58;2587642,41;1923440,17;2422446,17;2495491,03;2851291,67;3137537,40;3788154,80;3217218,61;3113940,14;3157977,67;3097113,21;3059823,80;2912519,98;2937346,43;2868820,96;2752228,26;3401864,29;3015488,30;2826486,18;2928043,91;3090313,73;3621031,05;3454460,94;3266928,47;3519773,73;4437161,10;5171370,92;4266254,94;3103979,88;3743330,65;3781921,16;3150835,05;105630125,59
"15 Pará";33849909,80;32871717,66;33130995,71;36044319,40;35906526,59;35242306,77;29460144,72;31179893,86;34175218,80;36122298,83;36874442,23;35947766,42;34365985,58;37417579,86;35610330,34;28292446,48;32998806,72;42240776,53;40851896,60;44451659,55;36858888,56;37025006,25;39040983,98;38068009,09;38813794,18;39251569,26;40639703,77;46608262,09;55310881,51;48215050,10;45801750,84;43262884,30;14569318,55;1230501124,93
"16 Amapá";2549805,60;2294126,19;2511041,32;2746817,21;2648904,75;2117098,07;2388704,49;2905190,27;2145557,83;2455947,45;2310514,38;2296699,42;2333822,65;2310195,65;1842472,54;1705873,64;2065055,35;2009912,57;3253399,45;2946398,44;2416019,23;2203732,04;2218532,26;2566919,60;2807807,85;2822559,17;3188210,98;3616822,40;4379596,14;3808085,03;5211715,56;5263137,94;5032883,11;93373558,58
"17 Tocantins";5791079,68;5881439,69;6593258,41;6684401,50;7143806,13;6136528,26;7118118,28;7607639,98;8498162,91;7181834,26;6467132,92;7210731,09;8098081,50;7024599,22;7210345,19;6391193,66;6708560,19;7439039,33;9161017,13;8393462,98;8736822,57;7771468,08;8878567,15;7072686,76;7297673,11;9875312,13;10651036,24;9365632,90;9493726,37;10650363,76;9790960,71;9735208,07;773480,42;252833370,58
"21 Maranhão";30641772,18;27369051,19;30399681,09;30406171,44;31437580,62;30094232,34;30724404,59;31712464,35;30923188,40;32025892,76;31013878,74;29659493,42;30324868,50;30018188,06;29309892,09;25256589,20;31382563,90;34921838,63;35497966,06;32279553,26;30167548,03;33401913,72;32120375,92;31089097,19;31798852,85;32611445,91;44534337,62;50000737,43;52984947,37;50461554,99;50500013,97;41501696,81;36250671,51;1132822464,14
"22 Piauí";15882517,83;15433452,88;16189802,79;17051416,58;17792232,00;17263004,56;17460423,29;18086949,20;17769414,47;18500751,19;17748312,51;17641837,23;16229473,38;16851334,11;14568254,23;12224393,97;13182211,00;15282065,70;19908573,27;25663537,49;20230782,72;22390896,85;18915102,19;20883972,79;22689390,32;20983255,97;21609265,95;27405790,99;30110761,69;31075168,71;29401741,26;27694895,48;20752326,97;654873309,57
"23 Ceará";49469464,64;47565552,04;48209418,30;49676998,37;52622124,54;50899685,24;52995900,80;52448675,67;51139884,41;51554343,17;50519641,21;50835606,88;50630584,39;50725074,22;47009985,82;45048541,70;46442101,89;54999754,23;56025385,70;61728043,89;56708848,06;59171588,67;56988710,67;50978321,14;52321247,96;56235209,03;68360158,15;78545339,50;86928378,41;109909481,08;90387647,21;75731882,46;75197971,95;1938011551,40
